lambda_micron,nuFnu
0.1,5.084289611678792e-05
0.1236673,0.04194347357250251
0.152936,0.16707401117867018
0.1891319,0.43325638950846057
0.2338943,0.7944134434899475
0.2892508,1.1209408134916925
0.3577086,1.3057344514622171
0.4423686,1.2383484555144384
0.5470654,1.0323101447057088
0.676541,0.7725217678856046
0.83666,0.5400244635881423
1.034675,0.38631336934725363
1.279555,0.2997493298462849
1.582391,0.22943819570052154
1.9569,0.16056699477138348
2.420045,0.100320039189844
2.992805,0.07445946635956695
3.701121,0.06116696322461967
4.577077,0.05408005937602157
5.660348,0.051586773242702305
7.0,0.04886727566330369
7.089677,0.048962901597422344
7.180503,0.04909186400946984
7.272493,0.04922070118724871
7.365661,0.0493462909096183
7.460023,0.04951839535348376
7.555593,0.05005487752319459
7.652388,0.0509584707120154
7.750423,0.05186735747182144
7.849714,0.05278930108523555
7.950277,0.053732774540975775
8.052128,0.056024291717885276
8.155284,0.05955459438499109
8.259761,0.06599358352844015
8.365577,0.07651908558438923
8.472749,0.08863648214348131
8.581293,0.10225315754837078
8.691229,0.11706110883447193
8.802572,0.13353059878940995
8.915342,0.1529902497958633
9.029557,0.1741273935197085
9.145235,0.19582196739220217
9.262394,0.2159970871184367
9.381055,0.2346786960675222
9.501236,0.2480849833649971
9.622957,0.25820502040501075
9.746237,0.26247576220227525
9.871096,0.262619983456178
9.997555,0.2580903565474117
10.12563,0.2509117647570991
10.25535,0.242261497655196
10.38673,0.23323610170649653
10.5198,0.22298610390786142
10.65457,0.21200023423608225
10.79107,0.20024204230836448
10.92931,0.18924901062233299
11.06933,0.17891129621041946
11.21113,0.16890090054549822
11.35476,0.1589660022764102
11.50023,0.14847802231255994
11.64756,0.13805380173858
11.79677,0.1282152807427239
11.9479,0.11885072257796181
12.10097,0.11109802472377094
12.25599,0.10440618372698324
12.413,0.09835007130520745
12.57203,0.09441431955065954
12.73309,0.09285750334031484
12.89621,0.09130562488454676
13.06143,0.09172422984752156
13.22876,0.09434718115441292
13.39823,0.09741618256002084
13.56988,0.10078867932749037
13.74372,0.10458551704562462
13.91979,0.1085435089513132
14.09812,0.11230331163583906
14.27873,0.11576148368425844
14.46165,0.1194180518758314
14.64692,0.1236369321034293
14.83456,0.12822303676308822
15.02461,0.13377231029221398
15.21709,0.14316368571655264
15.41204,0.15375182333557455
15.60948,0.16524207137903474
15.80946,0.17773096130940974
16.01199,0.19040783174859086
16.21712,0.20176398316768218
16.42488,0.21287535292933008
16.6353,0.2204664612383858
16.84841,0.2259533539872085
17.06426,0.229870459421453
17.28287,0.23091535218432654
17.50428,0.23108059374881992
17.72853,0.22914197177776116
17.95565,0.22652322380674
18.18568,0.22315526284363757
18.41866,0.21938730071394255
18.65462,0.2159339801588195
18.8936,0.21269869659067317
19.13565,0.20953312263029358
19.3808,0.20645112209002053
19.62908,0.20372689028793106
19.88055,0.2013492575189822
20.13524,0.19914311495837317
20.3932,0.19713103279815847
20.65445,0.19517350854022097
20.91906,0.19327742137793585
21.18705,0.19204470356265696
21.45848,0.1911343613208836
21.73339,0.190245996637168
22.01181,0.18938496890390438
22.29381,0.18865074215810937
22.57941,0.18792480632323375
22.86868,0.18719741304692844
23.16165,0.1864128409489663
23.45837,0.18556266475107375
23.7589,0.18470541475101404
24.06328,0.183610721989378
24.37155,0.18208268976253095
24.68378,0.18047025706202371
25.0,0.17885111081670912
30.73734,0.1443245951938328
37.79135,0.10664063758974748
46.46422,0.07420602178928028
57.12745,0.044404682821492264
70.23782,0.02386653423987967
86.35694,0.012009628456859815
106.1753,0.005593087362001321
130.5418,0.002457285088471409
160.5003,0.0010304747403148701
197.3341,0.0004168749520688112
242.6209,0.00016381080075208358
298.3008,6.300464509138415e-05
366.7589,2.3836989031602226e-05
450.9277,8.904098754687492e-06
554.4126,3.293239645143604e-06
681.6467,1.2087039077102713e-06
838.0801,4.410015906193879e-07
1030.414,1.601802666247675e-07
1266.887,5.799163576166691e-08
1557.629,2.0951111880490162e-08
1915.095,7.561969031308634e-09
2354.597,2.730288897948122e-09
2894.961,9.87656783610444e-10
3559.336,3.586740820999328e-10
4376.18,1.311157597362005e-10
5380.484,4.8420070072952865e-11
6615.27,1.814847516021316e-11
8133.431,6.944151226049963e-12
10000.0,1.968383601570369e-12
